timestamp,counterparty,upi_id,amount,direction,planted_scenario,expected_signal
2026-09-17 16:02:00,SRI LAKSHMI CANTEEN,srilakshmi.canteen@ybl,75.00,DEBIT,,
2026-09-16 20:56:00,FRESHMART SUPERSTORE,freshmart.store@ibl,789.70,DEBIT,,
2026-09-16 20:05:00,QUICKBITE FOODS PRIVATE LIMITED,quickbite.foods@ibl,419.43,DEBIT,,
2026-09-16 19:21:00,HDFC BANK REFUND CELL,hdfcbank.refund@yb1,47500.00,DEBIT,F5,confusable handle @yb1 vs @ybl; bank name paired with 'refund'
2026-09-16 16:16:00,SRI LAKSHMI CANTEEN,srilakshmi.canteen@ybl,140.00,DEBIT,,
2026-09-16 14:59:00,DEEPTHI R,deepthi.r@axl,300.00,DEBIT,,
2026-09-15 20:24:00,QUICKBITE FOODS PRIVATE LIMITED,quickbite.foods@ibl,417.39,DEBIT,,
2026-09-15 19:35:00,METRO RIDE MOBILITY,metroride.trips@ibl,147.53,DEBIT,,
2026-09-15 13:11:00,SRI LAKSHMI CANTEEN,srilakshmi.canteen@ybl,75.00,DEBIT,,
2026-09-15 11:32:00,ELECTRICITY BILL DESK,electricity.billdesk@upiservice,18000.00,DEBIT,F4,new payee; no behavioural anomaly at all
2026-09-15 11:19:00,ELECTRICITY BILL DESK,electricity.billdesk@upiservice,1.00,CREDIT,F4,token credit; refund-scam opening
2026-09-14 18:41:00,SRI VENKATESWARA KIRANA,svkirana@paytm,321.93,DEBIT,,
2026-09-14 17:57:00,DEEPTHI R,deepthi.r@axl,200.00,DEBIT,,
2026-09-14 13:07:00,SRI LAKSHMI CANTEEN,srilakshmi.canteen@ybl,75.00,DEBIT,,
2026-09-14 03:47:00,NEHRU TRADERS ENTERPRISE,nehru.traders99@fastpay,92400.00,DEBIT,F3,amount vs own median; night; near the cap
2026-09-13 20:29:00,QUICKBITE FOODS PRIVATE LIMITED,quickbite.foods@ibl,443.94,DEBIT,,
2026-09-13 19:02:00,SAI MEDICALS,saimedicals@ybl,337.74,DEBIT,,
2026-09-13 18:46:00,QUICKCASH AGENCY,quickcash.agency@fastpay,4500.00,DEBIT,F2,payee 3 days old; no repeat payers; burst
2026-09-13 18:35:00,QUICKCASH AGENCY,quickcash.agency@fastpay,4500.00,DEBIT,F2,payee 3 days old; no repeat payers; burst
